"","X082B","X005B","X009B","X053B","X103B","X052B","X037B","X056B","X020B","X100B","X104B","X087B","X001B","X110B","X108B","X107B","X109B","X112B","X035B","X067B","X128B","X045B","X070B","X019B","X014B","X025B","X169B","X040B","X105B","X028B","X144B","X172B","X003B","X038B","X049B","X170B","X026B","X017B","X004B","X072B","X088B","X093B","X126B","X101B","X187B","X509A","X061B","X078B","X041B","X178B","X012B","X140B","X179B","X150B","X147B","X027B","X176B","X013B","X507A","X016B","X089B","X099B","X186B","X068B","X069B","X030B","X503A","X064B","X148B","X505A","X174B","X142B"
"Otu25",4,63.18,128,66,4.69,5,91,39,1.83,0.06,1.89,380,93,0.01,3.83,63,18.05,6.36,0.07,32.89,12,137,146,79,85,1535,140,33,48,464,8.66,341.58,2.53,0.05,58.66,0.01,46,0,0.05,66,0.04,49.46,5,2880.27,38.08,0.04,0,0.03,0.59,0,82,3.79,0.71,0,0,97,0.11,62,22.02,203,0,63,0,86,0.38,1.78,0.13,0.06,0,45,0,0
"Otu794",0,0,0.02,0,0,0,0,0.02,0,0,1,0.01,1,0,0,0,2,0.01,0.17,0,0.01,0.04,2,0,0.06,0.11,0.01,2,0,0.01,0,0.02,0.16,0.03,0.01,0.06,0.02,0.23,0.02,0,0.01,0.02,0,6,0.04,3,0,0,0,0,0.28,0.08,0.02,0,1.01,0.28,0.15,0.09,0.22,0,0,9.3,0,1,0.01,0.05,0,3,2,0.36,0.01,0
"Otu9",303,32,1.18,28,50,101.4,6,0.76,93,74,143,9,106,56.96,40,3,57.62,225,4,44,59,63,503,16,64,50,148,0.03,13,35,0.58,16,643.01,91,33,0,161,0.66,48,4,96,221,0.28,2230.12,521.3,33,36,8,12,215,3335.6,34,35,22.2,1063,120,148,259,623,21,78.61,360,157,256,489.8,79,0.22,1315,625,0.41,9.11,0.88
"Otu767",0,0,0.03,0,0,0.01,1,0.02,1,0,0,2,0,0,8,0,1,0,0.04,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0.02,0,0,5,0.01,0.05,0.01,0.07,0.09,0,0.01,0,0,0,0,0.01,0.06,0,1,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0
"Otu93",9,6,0.08,0.35,0.19,0,0.01,0.01,0.08,6,106,1.73,19,23,0,0.3,0.16,2.59,18,0.25,2,0.51,377.45,1,0.01,39,0.57,0.92,23,21,0,2.4,1.08,6,0,0.02,0.05,3,8,8,0.08,39,0.06,1,7,39.55,0.22,0.14,0.24,26,13,1,11,4.26,77,204.1,61.8,0.06,1.93,0.28,4,142,48,0.1,0.16,14,0,0.79,0.25,3.06,19.62,0.15
"Otu135",24,41,6,23,36,27.94,2,13,23,19,14,66,39,14.1,28.49,5,7,8,13,10,4,12,227.52,34,28,152.58,58.72,0.19,9,49,13,12,12,7,9,67.43,25,2.22,119.4,63.2,18,19,19.48,17,2.84,13.78,4,24.72,1,3,18,11,0.31,3.33,7.22,10,6.2,0.16,0.35,8,2,29,4.95,1,42,24,0.11,0.36,12,7.72,0.13,2.4
"Otu162",0.01,33,0.03,11,39,5,0.05,0.01,36,0.33,0.02,0,0.04,0.01,4.62,0.04,0,9,0.05,0.06,0,283,0,0,0,0,0.08,0.16,0.07,0.01,0.21,0,0,0.01,0.03,0,1,0,0.03,0,0,0,0,0,0.03,0,0.01,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"Otu67",0.22,0,0.04,11,0,0.01,7,0.02,18,0.01,0.71,0.01,0,17,10,0.03,4,0.61,161,0,0,0,0,0,1,0.01,0,0,0.03,0.01,0,31.52,67,0.06,0,3,0.01,228.31,53,0.01,3,0,0,0.08,0.08,0.01,103,27,42,0.05,0.92,0,0,91,6,0,0,0,0,57,1,0.11,0,0,0,0,2.75,0,0,0,45,0.1
"Otu51",140.62,0.01,1,0.04,2.12,0.01,0.07,7,10,139,1.21,0.05,17.45,36,0.01,2.31,92,3,1.21,2,3,55,69,1.79,0.35,18,0,25,19,6,67,255.51,9,15,3.66,107.6,23.61,150,0.73,0,0.02,0.09,1.15,4.65,93,25,0.02,0.04,0.02,18,37,3,308,2.69,1553,6,8.73,2,213,17,0,272.83,8,4.07,0.08,0.36,0.03,52,0.02,25.71,191,0
"Otu282",0.14,0.7,5,8,1,1,0.12,8.55,0.2,0.38,0.02,0.05,6,0.04,0.54,8.08,1,4,3.08,0.24,27,6,13,0.04,0.36,3,0.07,0.06,0.13,0.89,0.04,1.07,0.67,0.05,0.24,2,7.66,0.42,0.73,0.01,0.26,1.78,0.08,9,242,12.22,4,0.01,0.01,0.04,4.88,0.09,2.91,0.01,5.55,0.5,3,0.05,3,2.15,1,2.38,0.83,174,0,4,0,19.58,0.06,0.05,0.54,2.21
"Otu395",3,0,0,2,0.36,0,0.02,0.02,3,1,0.44,0,1,1,1,0.03,0.02,8,0.22,0.01,6,1.1,2,0.14,0.03,0.07,2,0,0.27,1.64,0,0.01,0.03,2,0.01,0,13.71,0.11,1,0,0,8,0.01,3.15,2.18,7,0.23,0.02,0.01,0.22,35.57,1.51,0.01,0.34,24,2.03,1,1.48,12,0,0,9,4,4,0.39,1,0,20.93,7,0,18,0.09
"Otu44",37,7.14,2,0,510,2,0.07,1.61,0,1.85,0.13,132,0,42,2.76,41,1,0.85,0.42,2.94,0.04,0,0.01,0.02,0,0,0.01,4.32,0,0.77,17.26,0,0.01,0.57,0.02,4.33,0.01,18,0.01,12.08,0,0,0,0,0,0,0.1,0.07,27,0,0,0.06,0,0.95,0,0,0,0,0,0,44,0,0,0.01,0.01,0,0,0,0,0,0,216
"Otu68",0,0.1,13.44,0,6.17,156,0.54,74,0,0,0.11,170,0.01,0,2.21,23,30,0,0.1,0.06,14.83,0,58,49,0,0,0.05,5,0,0.32,47,0,0.03,0.01,434,178.45,0,0.25,0,124,0.01,803,76,0,0,0.01,79,0.04,0.78,0.69,0,0.15,0,0.01,0.08,0.04,0.06,0.01,0.05,0.2,0.03,0,0,0.05,10,0.13,0.06,0,18.29,0,0,0.08
"Otu605",0.01,0.43,0,0,11,19,14.52,0.13,0,0.17,0,11,0.05,0,61,2.36,0.01,0,0,0.18,4,0,21,4,0,0,0.02,0.44,0,0.02,0.23,0,0,0,0,0,0,0,0,0.2,0,0,0.02,0,0,0,0,0,0.04,0,0,0.04,0,0,0,0,0,0,0.03,0,0,0,0,0.02,0,0,0,0,0,0,0,0
"Otu52",0.01,0,0,0.04,0.42,0,0.01,0.02,1.41,64,0.2,0,1,0.18,0,0,0.01,40,19,35,0,12.54,6.87,0.27,1,24,133,0,0.24,0,0,225.74,1,0.01,0.01,4,16.94,0.02,5.99,0.01,0.37,0.08,0,79,9,11.05,0.01,0.03,0.04,1.8,12.13,2,34,0.01,561,114,0.44,5.16,8,0.04,0,25.29,3,2,0,2.95,0,3.23,0,0.09,131.29,0
"Otu296",2,2,3,0.48,1.57,0.05,0.12,2.15,9,0.11,2,3,10,2,1,0,4,2,1,3,0.22,19,21,0.23,1,0.73,6,0.13,0.16,12,0,4.12,7,8.78,0.22,2.64,4.06,9,3,0.85,0.27,0.05,0,16,0.7,0.02,1,5.91,19.75,0.01,0.01,3,3,11.33,0.51,0.08,0.03,67,4,0.02,1,0.61,0.04,2.98,24,0.16,15,1.15,0.23,0.06,0.01,6.11
"Otu84",79,22,57,5,3,58.6,8,22,133,121.43,141,14,16,44,18,0.02,200,26,3,14,38.1,183.73,113,12,1,18,10,9.49,12,35,21,8,14,186.9,22,25,69,46,18.93,9,38,4,10,16.29,4,0.26,67.2,23,24,0.01,1,24,3,105.86,0.15,1,0.09,0.22,0.06,7.61,6.66,0.01,0.08,6,0.07,0.29,0,0,0.1,0.16,0.06,0
"Otu768",0.01,1,0.03,0.06,3,5,2,0.08,0,2,0,0.02,0,0.03,0.4,0.04,1,0.02,0.07,0.1,0,0,0,0,0,0,0.01,2.55,0,0,0.23,0,0.03,0,0,0.04,0,3,0,2,0,0.03,0,0,0,0,1,2,1,0.58,0,0,0,0.02,0,0.01,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0
"Otu764",8,0.06,0.03,0.04,12,6,9.07,2.17,0.01,10,4,0.01,0.37,0.1,2,5.34,1,0.02,6,5,2,0.02,0.02,0.21,0,5,0,2.34,1,0.1,0.21,6.68,3.14,0.06,0,0.09,0.01,0.43,0.41,0,0.02,0,0.01,3,0,0,0,3,0.02,0.3,1,0.2,0.04,0,0.06,0.05,0.09,0.01,0.01,4,0,0.33,0,0.04,0,0,0,0.04,0,0.86,0.01,0
"Otu210",1.83,0,0,0.02,0.01,0.02,11,0.01,1,0,0.04,0,66,130,13,0.16,0.12,0.09,0.98,0,4,0.01,50,0.02,6,0.99,0.01,0,0,0.01,0,0.16,0.22,0.33,0,2,0.02,1.53,6,0.01,4,0.01,0.04,14,0,0.01,0.46,0.2,0.01,0,0.14,0.12,0,180,0.11,0,0.03,0.02,1.02,0,2,0.12,0.05,0.23,0,78,4.19,0.06,0,0.06,0.08,0.12
"Otu441",0,0,0.01,0.05,0,0,0.44,0.01,5,0,0.05,0.01,0,0.07,3,0,1,0.02,15,0,0,0,0,0,1,0.09,0,0,0,0,0,7,14,0,0,1,0,0.47,0.03,0,0.91,0,0,0.02,0,0,11,6,4,0.02,0.03,0,0,2.07,0,0,0,0,0,7,0,0.01,0,0,0,0,0,0,0,0,0,0
"Otu830",0.02,0,0,0,0.01,0,0,0,0.19,0.22,4,2,1,0.06,0,0,0.02,1,0.18,0,0,0.72,1.49,0,0.01,0.15,0.02,0.01,0,0.03,0,0.12,1,2,0,0,0.1,0.03,0.09,0.57,0.01,5,0,1,1,4,0.02,0.01,4,0,0.09,3,3,0.04,13.79,0.05,2,0.04,0.01,0,0,2.75,0.13,0.01,0.07,0,0,3,2.3,0.22,0.05,0.13
"Otu793",0,0,1,0,0,0,0,3,0.02,0,0,0.03,0,0,0.01,0.01,1,0,0.12,0.02,0,0,0,0.01,0.05,0.02,0,0,0,0.02,0.01,3,0.02,0,0,3,0,0.12,0.01,0,0.03,0,0.07,1,0,0,0,0.01,0,0,0,0,0,0.02,0.16,0,0.01,0.02,3,0,0,0.03,0,0,0,0,0,0.26,0,0.02,0.03,0
"Otu152",0.61,27,195,1,9,7,4,15,106.19,2,34,4,6,2.23,1,0.57,12,8,3,3,0.05,196,57,2.49,57,3.55,2,10,7,16,8,9,65,0.28,6,48.39,32,3.78,4,0.3,0.03,0,0.03,0.03,3,0.06,0.64,0.94,6,0.04,0.16,0.1,2,2,0.02,0.12,0,0.11,0.05,0.01,0,0.01,0,0.11,0,0,0.26,0,0,0,0.17,0
"Otu23",201.11,18,154.22,23,34,6,88.01,14,233.03,37,395.26,6.38,142,47,15,92.74,3,37,18,82,6,53,175,10,48,191.9,122.3,21,15,3.84,5,0.1,283.19,11,39,4,87,84,38,43,40,35,46.63,596.24,19,7,16,6.72,28,59.9,17,59,6,203.93,11,27,2,75,10,17,5,92,89.06,3,121,55,23,169,60,23.66,1.89,30
"Otu752",0.05,0,1,0.04,0,0.02,0,1,0.54,0.02,0.11,0.19,0,3,0,0,8,0.18,16,0.02,0,0,0,0.02,0,0.01,0,0,0,0.03,0.01,0.03,2,7,0.14,0.67,0.03,5.37,0.17,0,0,0.03,4,0.01,0,0,0.01,0.01,11,0,4,7,0.01,1.17,0,0.01,0.02,0.01,0,0,0,0,0.06,0,21,0.03,0.08,0,0.22,0.37,0,0.1
"Otu114",0.88,0.42,0.79,6,12,0.14,10.01,1,21,133,1.5,0,0,14,7,8,19,0.05,69,1,0,5,0.01,0.48,54.17,0.48,0,0,9,0.02,1.12,158,14,0.05,1,7.65,0.01,20.8,16.26,0,0.06,0,0.01,91,1.59,1.38,10,27.52,3.36,22.76,0.9,0.01,0,64,20,0,0.1,0.09,0.94,12,0,118,0,0.03,0,0,2.21,0.72,0,0.1,30,0
"Otu172",0,129,143,0.43,43,56,14.05,14,0.01,0.99,0,0.33,0.01,0.02,18,15,0.56,0,0.01,66,0.01,0,0,5.39,0,0,0.05,254,0.01,0.11,7,0,0,0,19,9,0,0,0,0.01,4,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.2
"Otu357",0.12,2,0.35,0.18,1,0.05,0.01,0.08,20,0.18,0.4,0.07,0,7,2.15,2,3,0.03,1,1,0.02,0,0.02,2,16,0.16,0.05,6,0,4,0.34,8,4.35,0.09,0.01,2,0,12,0.03,0,0.17,3,0,0.02,0,7,0.56,1.24,0.4,2,0.11,0.01,0,2.19,2.68,0,1,0,0,2,0,0.55,0.01,0,0.06,0,0,0.16,0.67,0,0,0.09
"Otu219",0.02,1,8,0.89,0.07,0.73,1,1,0,0,0,5,35,0.11,4,0,6.09,3,0.03,0.05,0,0.4,1.46,0.02,0,7.27,0.38,0.01,0,2,2,0,0.01,0.01,6,0.03,2.1,0.03,118,0.12,0.01,0.01,0.19,0,0,0,1,0.04,0.14,0.01,115,0.01,0,0.33,0,0.01,0.06,0,0,0.47,0,0,0.01,0,0,0,0,0,0,2.82,0,0
"Otu882",2,0.21,8,0,3,2,1.31,5,0.16,0.1,0.05,0.08,0,0.01,3,0.38,0.46,0.01,0,0.68,0,0,0,0.01,10,0,0,0.13,0,1.35,0.79,0.01,0.03,0.01,0,1,0,0,0,0,0.02,2,0.07,0,0,0,0,0,0,0,0,0.05,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0.05,0,0,0,0.08,0,0,0
"Otu197",0.44,14,1.43,0.33,7,2,11,1,0.32,0.74,49,25,0.09,0,8,6.46,0.3,0.01,0.06,0.67,5,4,0.06,16,0.01,0,0.82,1.96,6,0.05,0.91,0.13,58,0.01,0.03,0,0,0,0.01,3.53,0.09,1,0.42,0,2,0.08,0,0.01,0.05,0,0.05,0.05,0.05,0.02,0.09,4,0.01,0,0,0,0,0.01,0,0.02,0.04,0,0,0,0.06,0,0.01,0
"Otu811",1,0,0,0.01,0.01,0.01,1,0,3,0.01,0.03,0,0,0.02,0.01,0,0,0.05,0,0,0.01,1,0,0,0,0,0,0,0,0.01,0,0,0,4,0.09,0,0,0,0,0,0,0,4,0,0.01,1,0,0.01,0,0,0,0.11,0,0,0.04,0,0,0,0,0,0,0.07,0,0.02,0,0,0,0,0,0,0,0
"Otu660",0.41,0,0,0.01,0,0,0,0,0.03,1,0.21,0,0.01,2,0,0,0,0.01,3,0,0.01,0,8,0,0,0,0,0,2,0.02,0,0,0,1,1,0,0.01,0.02,0.02,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.11,0,0.05,0,0,0,0.01,0.02,0,0,0,0,0.02,10,0.02,0.06,0,0.16,0,0,0.08
"Otu223",2,0,1.62,0.12,0.41,0.01,0.92,2,0.06,0.06,22,2.07,0.33,4,3,0.02,7,1,2,3,1.48,4.73,71,5,13,0.09,0.09,3,0.27,0.2,4,1.02,45.1,19.78,6,6.5,2,35,37.26,0.01,1.13,0.35,0.04,81,2,3.08,3,5.64,1,0.01,121.15,3,18,12,1.15,14,0.09,0.37,23.32,4,0,18,0.01,5,0,0.1,0.78,0.66,0,1,1,0
"Otu87",0.01,0.68,2,0.03,7.97,1,1,777,0.02,0,0,413,0.01,0,7.52,6,301,0,0.17,33,8,0,0.02,436,0,0,0.09,0.26,0.01,0.05,1,0,0.06,0,737,15,0,0.77,0,1.92,0.07,0,152,0,0,0,0,0.01,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu411",0,0.13,3,0.01,2,0.07,0,0.14,0.01,1,0.01,0.05,0.04,0.03,0.05,0,1,0.04,0.09,0.39,0,0,4,0,0.01,4,0,0,0,0.15,0.02,0.14,0.03,0,0,1,2,0.19,2,0,0.04,0.01,0.01,0.03,0.01,0,0.01,0.02,0.01,0.07,1,0.04,0.05,5,0,0,0.02,0.34,0.09,0.05,0,1,0,0.01,0.02,0,13,0.05,0,7,0,0.02
"Otu45",34,7,5,1,2.9,0.05,0.01,17,30.73,111,16.91,41,86,63,0.02,0.01,132.36,24,151,64.52,9.54,5.81,91,6,18,4,3,0,0.08,39,0.04,87,54.78,42,0.04,0,224.1,103.71,24,0.84,0.02,7.54,0.2,119,26,20,7,25,24,39.53,1,19,58,210.44,405.92,0.41,8,2.7,63,53.4,0,74.39,8.7,6,0,0.11,0,153.16,0.09,2.24,47,0.24
